date,reported,genomic
3/1/20,29.2,10
3/2/20,30.0302301,10.81113248
3/3/20,30.88297049,11.68610526
3/4/20,31.76046799,12.63495715
3/5/20,32.66172439,13.65764527
3/6/20,33.58916577,14.75976574
3/7/20,34.54533267,15.95115566
3/8/20,35.53776882,17.27152873
3/9/20,36.53440756,18.66065674
3/10/20,37.58478191,20.1620537
3/11/20,38.63789915,21.8132803
3/12/20,39.74961776,23.53830194
3/13/20,40.86243325,25.47958885
3/14/20,42.03909434,27.53374527
3/15/20,43.21575543,29.74117449
3/16/20,44.46040465,32.18229179
3/17/20,45.7058054,34.73986129
3/18/20,47.05511835,37.64490192
3/19/20,48.40862089,40.56268674
3/20/20,49.76212344,43.98192306
3/21/20,51.12637143,47.40115939
3/22/20,52.63570353,51.38281839
3/23/20,54.14503564,55.40727486
3/24/20,55.65436774,60.02568559
3/25/20,57.19439833,64.76249892
3/26/20,58.87749334,70.11832744
3/27/20,60.56058836,75.69358648
3/28/20,62.24368337,81.90317954
3/29/20,63.98188215,88.46528293
3/30/20,65.85874443,95.66307021
3/31/20,67.73560671,103.3866819
4/1/20,69.61246899,111.7279339
4/2/20,71.57405249,120.8186321
4/3/20,73.66698876,130.4826247
4/4/20,75.75992503,141.182369
4/5/20,77.8528613,152.3760144
4/6/20,80.06622293,164.9695803
4/7/20,82.40010343,177.9315919
4/8/20,84.73398394,192.7541448
4/9/20,87.06786444,207.7598118
4/10/20,89.57120246,225.2058217
4/11/20,92.18401698,242.6518315
4/12/20,94.7968315,262.8130655
4/13/20,97.40964602,283.7695235
4/14/20,100.1644006,306.9072042
4/15/20,103.1005922,331.7852373
4/16/20,106.0367837,358.24479
4/17/20,108.9729753,387.7384187
4/18/20,112.0074087,418.3160293
4/19/20,115.3069978,452.918236
4/20/20,118.6065868,489.2506656
4/21/20,121.9061758,528.8202446
4/22/20,125.2473181,571.9293083
4/23/20,128.9552732,617.1791399
4/24/20,132.6632282,668.2613315
4/25/20,136.3711833,721.170851
4/26/20,140.0791383,779.6567705
4/27/20,144.21531,843.2473787
