date,infected
3/2/20,22.7
3/3/20,24.1790955
3/4/20,25.75208501
3/5/20,27.43087586
3/6/20,29.21604341
3/7/20,31.14371673
3/8/20,33.1538241
3/9/20,35.31177305
3/10/20,37.62766948
3/11/20,40.06561522
3/12/20,42.6513321
3/13/20,45.45839228
3/14/20,48.43344203
3/15/20,51.5715286
3/16/20,54.95440099
3/17/20,58.47681762
3/18/20,62.34601439
3/19/20,66.29988059
3/20/20,70.72384159
3/21/20,75.2367638
3/22/20,80.21863464
3/23/20,85.38619088
3/24/20,90.97831332
3/25/20,96.90257712
3/26/20,103.1997076
3/27/20,109.9362146
3/28/20,117.0490001
3/29/20,124.7203348
3/30/20,132.7544515
3/31/20,141.489787
4/1/20,150.5645907
4/2/20,160.5108484
4/3/20,170.7611229
4/4/20,182.085406
4/5/20,193.6633741
4/6/20,206.5557538
4/7/20,219.6333525
4/8/20,234.3776967
4/9/20,249.2208174
4/10/20,265.8570705
4/11/20,282.7823715
4/12/20,301.5555138
4/13/20,320.8549925
4/14/20,342.0370864
4/15/20,364.0436673
4/16/20,387.9410401
4/17/20,413.0343097
4/18/20,439.9918069
4/19/20,468.6045397
4/20/20,499.0102935
4/21/20,531.6358875
4/22/20,565.9266664
4/23/20,603.1276191
4/24/20,641.658492
4/25/20,683.591011
4/26/20,728.2003598
4/27/20,774.9465986
4/28/20,826.152458
4/29/20,878.899313
4/30/20,936.9929659
5/1/20,997.6276245
5/2/20,1062.388628
5/3/20,1132.02577
5/4/20,1204.218539
5/5/20,1284.124464
5/6/20,1366.504159
5/7/20,1456.213522
5/8/20,1550.874269
5/9/20,1650.874372
5/10/20,1759.547131
5/11/20,1871.379084
5/12/20,1994.478765
5/13/20,2124.521894
5/14/20,2261.325519
5/15/20,2408.763897
5/16/20,2566.359979
5/17/20,2732.22368
5/18/20,2908.801011
5/19/20,3099.746095
5/20/20,3300.795522
5/21/20,3512.25343
5/22/20,3743.550768
5/23/20,3987.189275
5/24/20,4243.439521
5/25/20,4520.500671
5/26/20,4815.670998
5/27/20,5126.255161
5/28/20,5457.953089
5/29/20,5815.450776
5/30/20,6190.563408
5/31/20,6590.750706
6/1/20,7015.69456
6/2/20,7472.960929
6/3/20,7959.426609
6/4/20,8476.285012
6/5/20,9025.314579
6/6/20,9608.386294
6/7/20,10227.4674
6/8/20,10890.65048
6/9/20,11598.89796
6/10/20,12351.2855
6/11/20,13150.38138
6/12/20,13998.88585
6/13/20,14899.63625
6/14/20,15860.18987
6/15/20,16889.82305
6/16/20,17983.36601
6/17/20,19144.50352
6/18/20,20377.10582
6/19/20,21685.23543
6/20/20,23073.82684
6/21/20,24567.51126
6/22/20,26153.31806
6/23/20,27836.48323
6/24/20,29622.49762
6/25/20,31517.11561
6/26/20,33526.36385
6/27/20,35679.13126
6/28/20,37971.29003
6/29/20,40402.71185
6/30/20,42981.06955
7/1/20,45714.384
7/2/20,48611.03377
7/3/20,51698.89547
7/4/20,54996.39158
7/5/20,58491.09373
7/6/20,62193.4822
7/7/20,66114.46973
7/8/20,70265.40952
7/9/20,74666.9776
7/10/20,79349.10897
7/11/20,84322.08552
7/12/20,89593.41026
7/13/20,95179.27779
7/14/20,101096.5421
7/15/20,107358.3905
7/16/20,114000.2211
7/17/20,121013.8748
7/18/20,128416.8881
7/19/20,136265.1632
7/20/20,144574.7314
7/21/20,153334.5318
7/22/20,162564.0247
7/23/20,172311.2578
7/24/20,182618.246
7/25/20,193447.378
7/26/20,204887.7648
7/27/20,216895.2408
7/28/20,229559.1715
7/29/20,242834.9452
7/30/20,256810.7639
7/31/20,271441.7238
8/1/20,286813.1934
8/2/20,302880.0713
8/3/20,319722.9816
8/4/20,337296.6315
8/5/20,355674.7797
8/6/20,374811.8301
8/7/20,394772.401
8/8/20,415510.3324
8/9/20,437078.7588
