date,reported,bdsir_infected,percent_reported
1-Mar-20,38,10,380%
2-Mar-20,18,10.81113248,166%
3-Mar-20,29,11.68610526,248%
4-Mar-20,24,12.63495715,190%
5-Mar-20,37,13.65764527,271%
6-Mar-20,50,14.75976574,339%
7-Mar-20,101,15.95115566,633%
8-Mar-20,201,17.27152873,1164%
9-Mar-20,349,18.66065674,1870%
10-Mar-20,293,20.1620537,1453%
11-Mar-20,330,21.8132803,1513%
12-Mar-20,304,23.53830194,1292%
13-Mar-20,126,25.47958885,495%
14-Mar-20,170,27.53374527,617%
15-Mar-20,115,29.74117449,387%
16-Mar-20,157,32.18229179,488%
17-Mar-20,130,34.73986129,374%
18-Mar-20,135,37.64490192,359%
19-Mar-20,123,40.56268674,303%
20-Mar-20,148,43.98192306,337%
21-Mar-20,107,47.40115939,226%
22-Mar-20,100,51.38281839,195%
23-Mar-20,135,55.40727486,244%
24-Mar-20,124,60.02568559,207%
25-Mar-20,123,64.76249892,190%
26-Mar-20,108,70.11832744,154%
27-Mar-20,131,75.69358648,173%
28-Mar-20,137,81.90317954,167%
29-Mar-20,103,88.46528293,116%
30-Mar-20,132,95.66307021,138%
31-Mar-20,103,103.3866819,100%
1-Apr-20,176,111.7279339,158%
2-Apr-20,124,120.8186321,103%
3-Apr-20,88,130.4826247,67%
4-Apr-20,137,141.182369,97%
5-Apr-20,122,152.3760144,80%
6-Apr-20,154,164.9695803,93%
7-Apr-20,143,177.9315919,80%
8-Apr-20,240,192.7541448,125%
9-Apr-20,472,207.7598118,227%
10-Apr-20,238,225.2058217,106%
11-Apr-20,376,242.6518315,155%
12-Apr-20,312,262.8130655,119%
13-Apr-20,111,283.7695235,39%
14-Apr-20,312,306.9072042,102%
15-Apr-20,125,331.7852373,38%
16-Apr-20,122,358.24479,34%
17-Apr-20,101,387.7384187,26%
18-Apr-20,122,418.3160293,29%
19-Apr-20,57,452.918236,13%
20-Apr-20,109,489.2506656,22%
21-Apr-20,101,528.8202446,19%
22-Apr-20,105,571.9293083,18%
23-Apr-20,99,617.1791399,16%
24-Apr-20,108,668.2613315,16%
25-Apr-20,108,721.170851,15%
26-Apr-20,79,779.6567705,10%
27-Apr-20,117,843.2473787,14%
28-Apr-20,139,911.005491,15%
29-Apr-20,115,984.065108,12%
30-Apr-20,147,1064.687177,14%
1-May-20,145,1150.654102,13%
2-May-20,86,1242.107491,7%
3-May-20,87,1344.106576,6%
4-May-20,143,1453.145959,10%
5-May-20,173,1569.23221,11%
6-May-20,151,1696.638389,9%
7-May-20,132,1834.904861,7%
8-May-20,259,1982.214647,13%
9-May-20,303,2141.349709,14%
10-May-20,433,2315.12936,19%
11-May-20,380,2502.764173,15%
12-May-20,304,2705.060027,11%
13-May-20,163,2923.099766,6%
14-May-20,183,3158.038739,6%
15-May-20,203,3412.310982,6%
16-May-20,114,3689.826044,3%
17-May-20,78,3989.129579,2%
18-May-20,205,4311.842517,5%
19-May-20,231,4659.695764,5%
20-May-20,242,5034.536365,5%
21-May-20,213,5438.333849,4%
22-May-20,215,5879.263266,4%
23-May-20,151,6356.446254,2%
24-May-20,70,6870.967738,1%
25-May-20,128,7423.260566,2%
26-May-20,211,8022.333057,3%
27-May-20,232,8669.604371,3%
28-May-20,203,9368.931004,2%
29-May-20,147,10124.47458,1%
30-May-20,109,10940.72551,1%
31-May-20,91,11822.5284,1%
1-Jun-20,249,12775.10926,2%
2-Jun-20,197,13804.10462,1%
3-Jun-20,219,14915.59281,1%
4-Jun-20,245,16116.12743,2%
5-Jun-20,214,17412.77319,1%
6-Jun-20,125,18813.14413,1%
7-Jun-20,118,20325.44463,1%
8-Jun-20,397,21958.51294,2%
9-Jun-20,356,23721.86775,2%
10-Jun-20,554,25625.75768,2%
11-Jun-20,556,27681.21392,2%
12-Jun-20,255,29900.10607,1%
13-Jun-20,159,32307.50904,0%
14-Jun-20,147,34901.09541,0%
15-Jun-20,378,37692.58823,1%
16-Jun-20,290,40696.35811,1%
17-Jun-20,346,43956.43837,1%
18-Jun-20,379,47475.39377,1%
19-Jun-20,371,51261.0587,1%
20-Jun-20,432,55332.50838,1%
21-Jun-20,180,59737.34792,0%
22-Jun-20,492,64500.49118,1%
23-Jun-20,475,69622.01243,1%
24-Jun-20,513,75126.68423,1%
25-Jun-20,732,81054.93424,1%
26-Jun-20,515,87483.10155,1%
27-Jun-20,382,94389.28603,0%
28-Jun-20,313,101806.1452,0%
29-Jun-20,926,109779.9058,1%
30-Jun-20,1030,118364.1632,1%
1-Jul-20,1105,127632.228,1%
2-Jul-20,1001,137584.0508,1%
3-Jul-20,996,148228.1569,1%
4-Jul-20,651,159751.16,0%
5-Jul-20,560,172053.2395,0%
6-Jul-20,1264,185282.3704,1%
7-Jul-20,1266,199454.3655,1%
8-Jul-20,1260,214667.5494,1%
9-Jul-20,1782,230932.2468,1%
10-Jul-20,1629,248353.4383,1%
11-Jul-20,1207,267028.4595,0%
12-Jul-20,946,286952.1682,0%
13-Jul-20,1364,308188.1266,0%
14-Jul-20,1292,330931.0306,0%
15-Jul-20,1669,355126.4165,0%
16-Jul-20,1719,380891.2705,0%
17-Jul-20,1823,408292.3289,0%
18-Jul-20,1211,437398.7865,0%
