date,reported
1-Mar-20,38
2-Mar-20,18
3-Mar-20,29
4-Mar-20,24
5-Mar-20,37
6-Mar-20,50
7-Mar-20,101
8-Mar-20,201
9-Mar-20,349
10-Mar-20,293
11-Mar-20,330
12-Mar-20,304
13-Mar-20,126
14-Mar-20,170
15-Mar-20,115
16-Mar-20,157
17-Mar-20,130
18-Mar-20,135
19-Mar-20,123
20-Mar-20,148
21-Mar-20,107
22-Mar-20,100
23-Mar-20,135
24-Mar-20,124
25-Mar-20,123
26-Mar-20,108
27-Mar-20,131
28-Mar-20,137
29-Mar-20,103
30-Mar-20,132
31-Mar-20,103
1-Apr-20,176
2-Apr-20,124
3-Apr-20,88
4-Apr-20,137
5-Apr-20,122
6-Apr-20,154
7-Apr-20,143
8-Apr-20,240
9-Apr-20,472
10-Apr-20,238
11-Apr-20,376
12-Apr-20,312
13-Apr-20,111
14-Apr-20,312
15-Apr-20,125
16-Apr-20,122
17-Apr-20,101
18-Apr-20,122
19-Apr-20,57
20-Apr-20,109
21-Apr-20,101
22-Apr-20,105
23-Apr-20,99
24-Apr-20,108
25-Apr-20,108
26-Apr-20,79
27-Apr-20,117
28-Apr-20,139
29-Apr-20,115
30-Apr-20,147
1-May-20,145
2-May-20,86
3-May-20,87
4-May-20,143
5-May-20,173
6-May-20,151
7-May-20,132
8-May-20,259
9-May-20,303
10-May-20,433
11-May-20,380
12-May-20,304
13-May-20,163
14-May-20,183
15-May-20,203
16-May-20,114
17-May-20,78
18-May-20,205
19-May-20,231
20-May-20,242
21-May-20,213
22-May-20,215
23-May-20,151
24-May-20,70
25-May-20,128
26-May-20,211
27-May-20,232
28-May-20,203
29-May-20,147
30-May-20,109
31-May-20,91
1-Jun-20,249
2-Jun-20,197
3-Jun-20,219
4-Jun-20,245
5-Jun-20,214
6-Jun-20,125
7-Jun-20,118
8-Jun-20,397
9-Jun-20,356
10-Jun-20,554
11-Jun-20,556
12-Jun-20,255
13-Jun-20,159
14-Jun-20,147
15-Jun-20,378
16-Jun-20,290
17-Jun-20,346
18-Jun-20,379
19-Jun-20,371
20-Jun-20,432
21-Jun-20,180
22-Jun-20,492
23-Jun-20,475
24-Jun-20,513
25-Jun-20,732
26-Jun-20,515
27-Jun-20,382
28-Jun-20,313
29-Jun-20,926
30-Jun-20,1030
1-Jul-20,1105
2-Jul-20,1001
3-Jul-20,996
4-Jul-20,651
5-Jul-20,560
6-Jul-20,1264
7-Jul-20,1266
8-Jul-20,1260
9-Jul-20,1782
10-Jul-20,1629
11-Jul-20,1207
12-Jul-20,946
13-Jul-20,1364
14-Jul-20,1292
15-Jul-20,1669
16-Jul-20,1719
17-Jul-20,1823
18-Jul-20,1211
19-Jul-20,537
20-Jul-20,1758
21-Jul-20,1661
22-Jul-20,1659
23-Jul-20,1686
24-Jul-20,1743
25-Jul-20,994
26-Jul-20,659
27-Jul-20,2002
28-Jul-20,1623
29-Jul-20,1381
30-Jul-20,1495
31-Jul-20,1018
1-Aug-20,890
2-Aug-20,514
3-Aug-20,1456
4-Aug-20,1486
5-Aug-20,1288
6-Aug-20,1563
7-Aug-20,1524
8-Aug-20,928
9-Aug-20,757
10-Aug-20,1869
11-Aug-20,1784
12-Aug-20,1692
13-Aug-20,1348
14-Aug-20,1430
15-Aug-20,732
16-Aug-20,434
17-Aug-20,1493
18-Aug-20,1302
19-Aug-20,1183
20-Aug-20,1175
21-Aug-20,1183
22-Aug-20,613
23-Aug-20,424
24-Aug-20,1299
25-Aug-20,1254
26-Aug-20,1221
