#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BayesianSkyline.t:ncr-July2020-march_alg" spec="beast.evolution.tree.coalescent.BayesianSkyline">
#            <parameter dimension="5" id="bPopSizes.t:ncr-July2020-march_alg" lower="0.0" name="popSizes" spec="beast.core.parameter.RealParameter">380.0</parameter>
#            <groupSizes dimension="5" id="bGroupSizes.t:ncr-July2020-march_alg" spec="beast.core.parameter.IntegerParameter">1</groupSizes>
#            <treeIntervals id="BSPTreeIntervals.t:ncr-July2020-march_alg" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:ncr-July2020-march_alg" spec="beast.evolution.tree.Tree">
#                    <trait dateFormat="yyyy-M-dd" id="dateTrait.t:ncr-July2020-march_alg" spec="beast.evolution.tree.TraitSet" traitname="date" value="EPIISL434555_NCR_2020-03-26=2020-03-26,EPIISL434558_NCR_2020-03-28=2020-03-28,MT919768.1_NCR_2020-04-03=2020-04-03,MT919769.1_NCR_2020-06-25=2020-06-25,MT919770.1_NCR_2020-06-26=2020-06-26,MT919771.1_NCR_2020-06-29=2020-06-29,MT919772.1_NCR_2020-06-29=2020-06-29,MT919773.1_NCR_2020-06-29=2020-06-29,MT919774.1_NCR_2020-06-29=2020-06-29,MT919775.1_NCR_2020-07-06=2020-07-06,MT919776.1_NCR_2020-07-06=2020-07-06,MT919777.1_NCR_2020-07-06=2020-07-06,MT919778.1_NCR_2020-07-07=2020-07-07,MT919781.1_NCR_2020-07-13=2020-07-13,MT919782.1_NCR_2020-07-14=2020-07-14,MT919783.1_NCR_2020-07-15=2020-07-15,MT919785.1_NCR_2020-07-16=2020-07-16,MT919786.1_NCR_2020-07-17=2020-07-17,MT919787.1_NCR_2020-07-18=2020-07-18,MT919788.1_NCR_2020-07-18=2020-07-18,MT919789.1_NCR_2020-07-18=2020-07-18">
#                        <taxa id="TaxonSet.ncr-July2020-march_alg" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.ncr-July2020-march_alg"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <distribution id="MarkovChainedPopSizes.t:ncr-July2020-march_alg" jeffreys="true" parameter="@bPopSizes.t:ncr-July2020-march_alg" spec="beast.math.distributions.MarkovChainDistribution"/>
#        <prior id="ClockPrior.c:ncr-July2020-march_alg" name="distribution">
#            <parameter id="clockRate.c:ncr-July2020-march_alg" name="x" spec="beast.core.parameter.RealParameter">8.0E-4</parameter>
#            <Uniform id="Uniform.0" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="FrequenciesPrior.s:ncr-July2020-march_alg" name="distribution">
#            <parameter dimension="4" id="freqParameter.s:ncr-July2020-march_alg" lower="0.0" name="x" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#            <Uniform id="Uniform.3" name="distr"/>
#        </prior>
#        <prior id="GammaShapePrior.s:ncr-July2020-march_alg" name="distribution">
#            <parameter id="gammaShape.s:ncr-July2020-march_alg" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="KappaPrior.s:ncr-July2020-march_alg" name="distribution">
#            <parameter id="kappa.s:ncr-July2020-march_alg" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@ncr-July2020-march_alg" id="treeLikelihood.ncr-July2020-march_alg" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:ncr-July2020-march_alg">
#            <siteModel gammaCategoryCount="4" id="SiteModel.s:ncr-July2020-march_alg" shape="@gammaShape.s:ncr-July2020-march_alg" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:ncr-July2020-march_alg" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:ncr-July2020-march_alg" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:ncr-July2020-march_alg" kappa="@kappa.s:ncr-July2020-march_alg" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies frequencies="@freqParameter.s:ncr-July2020-march_alg" id="estimatedFreqs.s:ncr-July2020-march_alg" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:ncr-July2020-march_alg" id="StrictClock.c:ncr-July2020-march_alg" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	clockRate	kappa	gammaShape	BayesianSkyline	bPopSizes.1	bPopSizes.2	bPopSizes.3	bPopSizes.4	bPopSizes.5	bGroupSizes.1	bGroupSizes.2	bGroupSizes.3	bGroupSizes.4	bGroupSizes.5	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-43220.995967868104	-43065.57461999568	-155.42134787242728	-43065.57461999568	1.9991255842718092	8.0E-4	2.0	1.0	-118.85513157485083	380.0	380.0	380.0	380.0	380.0	4	4	4	5	3	0.25	0.25	0.25	0.25
5000	-42069.12442825748	-42028.7068083654	-40.417619892077084	-42028.7068083654	0.6083417799273428	8.0E-4	4.2022221271202875	0.7457427555667587	-21.765649143734752	2.6510985303336856	6.740719344494273	0.9100650355682122	3.2460151304938045	13.250517343980727	4	1	13	1	1	0.2674754684579608	0.24320063724208468	0.2325245315420392	0.2567993627579153
10000	-42013.28388358515	-41992.23213582893	-21.051747756221697	-41992.23213582893	0.6803609733763134	8.0E-4	4.2022221271202875	1.550459033040053	-11.02921272090146	2.5185293662836887	0.6676434973045925	1.2690254492850426	0.38692796903803783	1.0179410545566074	3	6	3	5	3	0.2690162985733521	0.2334510542249102	0.2407332844438224	0.2567993627579153
15000	-41794.47448633095	-41785.27599113271	-9.198495198245372	-41785.27599113271	0.6936575373155578	8.0E-4	4.702217021545528	1.550459033040053	-2.1984729667820835	1.6786036612071995	0.38196596776657804	0.8933760741374456	0.2133254552755955	0.30767848756115235	5	2	3	8	2	0.27749921940616823	0.2340015463789853	0.2183272852332126	0.2701719489816339
20000	-41556.79582028013	-41549.85072770524	-6.9450925748908645	-41549.85072770524	0.5864634868920764	8.0E-4	5.0378496598475495	0.6067392405863373	-1.952725248331669	2.014519279409093	1.3133080223504008	0.316783240170057	0.21742267775803265	0.20164144065728437	1	4	9	5	1	0.29090462449457016	0.20687730793754533	0.21668457319891235	0.28553349436897213
25000	-41525.388770521226	-41518.39603006949	-6.9927404517331775	-41518.39603006949	0.6252002253660398	8.0E-4	3.7831640835885767	0.8056883909077838	-3.880119184012134	0.8414963429541499	0.443564233371949	0.2288401842211567	0.2756399739089314	0.40608385612524106	1	11	4	3	1	0.3014312125343597	0.19594520294061987	0.21668457319891235	0.28593901132610805
30000	-41484.39345724235	-41479.510910745455	-4.882546496899746	-41479.510910745455	0.5867878671364801	8.0E-4	3.787656549420232	0.4132259805999561	-0.7941858887006781	1.5869260475591322	1.9536311716395836	0.3884106537933485	0.06462240450133744	0.10736467234642656	4	1	7	3	5	0.30085665929675465	0.18983736437588192	0.21668457319891235	0.2926214031284511
35000	-41440.88631553693	-41433.323939249996	-7.562376286934489	-41433.323939249996	0.721535460097092	8.0E-4	4.162003564874542	0.23976481243167688	-1.6856740248620685	4.974997320690474	0.5845164476915838	0.16481114070981626	0.2793585180489413	0.36949301026272124	3	7	7	2	1	0.3114479021128956	0.18396174460832468	0.2009447840286951	0.3036455692500846
40000	-41429.96142418803	-41428.266742732754	-1.694681455277725	-41428.266742732754	0.5950055959668109	8.0E-4	6.373066480666124	0.2576262852529827	2.6067004156022304	1.0170930423789217	0.49603169195290536	0.572216378041338	0.5055732772887106	0.10109397326514924	1	4	2	7	6	0.3114479021128956	0.17226761735546653	0.19615374002318214	0.3201307405084557
45000	-41430.53412323113	-41422.058925273464	-8.475197957664943	-41422.058925273464	0.4622986877233732	8.0E-4	3.9093328884201206	0.12109838164122812	-3.948653026868167	1.6214008608678543	1.0619600149459736	0.8284566348306436	0.290916544923869	0.1360672085372413	1	1	9	4	5	0.3106256500264047	0.17226761735546653	0.19615374002318214	0.3209529925949466
50000	-41426.28751952664	-41418.8775580739	-7.409961452738974	-41418.8775580739	0.7398514265856554	8.0E-4	3.229638693605004	0.22786931664927215	-5.221976479348099	0.6708096712106815	0.41920332128006915	0.4431377361105214	0.22869508208754882	0.31908387638449076	1	1	8	1	9	0.30381842017125754	0.1756637104812428	0.19791331676817184	0.3226045525793278
55000	-41419.064252399396	-41410.26496513509	-8.79928726430606	-41410.26496513509	0.6467204154581117	8.0E-4	3.229638693605004	0.49126093312275076	-4.203778999793567	1.4602432563690468	0.50684096098443	0.7588349530608404	0.4638589500136927	0.13508877967018368	2	6	5	3	4	0.30338063380513	0.17938722126025552	0.19868450691123055	0.3185476380233839
60000	-41417.83866569498	-41412.63526970958	-5.203395985401576	-41412.63526970958	0.48341187976063954	8.0E-4	3.229638693605004	0.39520345963506953	-1.5906865051285353	0.6726019836316798	1.332146073551485	0.13252420535892803	0.3040402522274805	0.07213382922640074	5	6	1	5	3	0.29642703674841725	0.17938722126025552	0.19571269429953153	0.32847304769179564
65000	-41412.55662208015	-41408.852497686195	-3.704124393950305	-41408.852497686195	0.5942810796616307	8.0E-4	5.927872614435903	0.39520345963506953	-3.5031673340171556	0.8044116178008581	0.1545210027871954	0.10347196559898637	0.14106591968947224	0.14023840746738847	11	2	3	2	2	0.29642703674841725	0.17938722126025552	0.19571269429953153	0.32847304769179564
70000	-41420.4315839405	-41409.025476812065	-11.406107128436147	-41409.025476812065	0.6284366005448742	8.0E-4	5.539806492896021	0.2563242200164515	-7.708270651424368	0.26830526762383894	0.7022934812331693	0.8082327245593915	0.2720148055366352	0.2230019502076071	1	7	2	6	4	0.3024249323241048	0.17938722126025552	0.19571269429953153	0.3224751521161081
75000	-41423.28833494465	-41413.79949116335	-9.488843781299465	-41413.79949116335	0.6639044674418606	8.0E-4	5.539806492896021	0.1629372897698977	-5.112314715838038	1.4090593026753246	0.3943528659169305	0.46193404690543455	0.5886349733516387	0.011047282024053261	2	7	9	1	1	0.3024249323241048	0.1831575132805508	0.19421637583903845	0.3202011785563059
