date,reported,ode,bdsir_date,bdsir
3/1/20,38,29.2,3/1/20,8
3/2/20,18,30.03107331,3/2/20,9
3/3/20,29,30.88470185,3/4/20,10
3/4/20,24,31.76312741,3/6/20,11
3/5/20,37,32.66536553,3/7/20,12
3/6/20,50,33.59390535,3/9/20,14
3/7/20,101,34.55122689,3/11/20,16
3/8/20,201,35.54474214,3/12/20,17
3/9/20,349,36.54272865,3/14/20,19
3/10/20,293,37.5942646,3/15/20,22
3/11/20,330,38.64890942,3/17/20,25
3/12/20,304,39.76187811,3/19/20,28
3/13/20,126,40.87641739,3/20/20,32
3/14/20,170,42.05442345,3/22/20,35
3/15/20,115,43.23242951,3/24/20,39
3/16/20,157,44.47911806,3/25/20,45
3/17/20,130,45.72596551,3/27/20,51
3/18/20,135,47.07795064,3/28/20,58
3/19/20,123,48.43304968,3/30/20,65
3/20/20,148,49.78814873,4/1/20,73
3/21/20,107,51.15607906,4/2/20,84
3/22/20,100,52.66721725,4/4/20,95
3/23/20,135,54.17835545,4/6/20,108
3/24/20,124,55.68949364,4/7/20,123
3/25/20,123,57.23425341,4/9/20,141
3/26/20,108,58.91939119,4/10/20,161
3/27/20,131,60.60452898,4/12/20,184
3/28/20,137,62.28966676,4/14/20,210
3/29/20,103,64.03383462,4/15/20,240
3/30/20,132,65.91300692,4/17/20,273
3/31/20,103,67.79217922,4/19/20,311
4/1/20,176,69.67135152,4/20/20,355
4/2/20,124,71.64036764,4/22/20,406
4/3/20,88,73.73591565,4/23/20,463
4/4/20,137,75.83146367,4/25/20,529
4/5/20,122,77.92701168,4/27/20,603
4/6/20,154,80.14952813,4/28/20,689
4/7/20,143,82.48636095,4/30/20,786
4/8/20,240,84.82319378,5/2/20,896
4/9/20,472,87.1600266,5/3/20,1021
4/10/20,238,89.67485286,5/5/20,1165
4/11/20,376,92.29101603,5/6/20,1328
4/12/20,312,94.90717921,5/8/20,1513.5
4/13/20,111,97.52334238,5/10/20,1725.5
4/14/20,312,100.292429,5/11/20,1970.5
4/15/20,125,103.2324312,5/13/20,2250
4/16/20,122,106.1724334,5/15/20,2571
4/17/20,101,109.1124356,5/16/20,2936
4/18/20,122,112.1642443,5/18/20,3354
4/19/20,57,115.4681691,5/19/20,3828
4/20/20,109,118.7720938,5/21/20,4372.5
4/21/20,101,122.0760186,5/23/20,4991.5
4/22/20,105,125.4381109,5/24/20,5698
4/23/20,99,129.1509983,5/26/20,6509.5
4/24/20,108,132.8638858,5/28/20,7432.5
4/25/20,108,136.5767733,5/29/20,8494
4/26/20,79,140.2896607,5/31/20,9693
4/27/20,117,144.4516506,6/1/20,11065
4/28/20,139,148.6241012,6/3/20,12627
4/29/20,115,152.7965519,6/5/20,14406.5
4/30/20,147,156.9690025,6/6/20,16450
5/1/20,145,161.5609071,6/8/20,18767
5/2/20,86,166.249772,6/10/20,21413
5/3/20,87,170.9386368,6/11/20,24425
5/4/20,143,175.6275016,6/13/20,27859.5
5/5/20,173,180.6919606,6/14/20,31780.5
5/6/20,151,185.9611186,6/16/20,36229
5/7/20,132,191.2302765,6/18/20,41265.5
5/8/20,259,196.4994345,6/19/20,46993.5
5/9/20,303,202.0886678,6/21/20,53515
