tip,date,distance,residual
MT919769.1_PhilQuezonCityNCR_2020-06-25,2020.480874,4.22E-04,2.22E-05
MT919773.1_PhilPasayNCR_2020-06-29,2020.491803,4.22E-04,1.54E-05
MT919786.1_PhilTaguigNCR_2020-07-17,2020.540984,4.89E-04,5.16E-05
MT919787.1_PhilQuezonCityNCR_2020-07-18,2020.543716,3.88E-04,-5.08E-05
MT919774.1_PhilQuezonNCR_2020-06-29,2020.491803,4.52E-04,4.56E-05
MT919775.1_PhilQuezonNCR_2020-07-06,2020.510929,4.19E-04,5.06E-07
MT919777.1_PhilPasayNCR_2020-07-06,2020.510929,4.53E-04,3.46E-05
MT919771.1_PhilTaguigNCR_2020-06-29,2020.491803,4.84E-04,7.77E-05
MT919770.1_PhilQuezonCityNCR_2020-06-26,2020.483607,3.14E-04,-8.70E-05
MT919772.1_PhilQuezonCityNCR_2020-06-29,2020.491803,3.16E-04,-9.04E-05
MT919788.1_PhilPasayNCR_2020-07-18,2020.543716,4.18E-04,-2.10E-05
MT919789.1_PhilQuezonCityNCR_2020-07-18,2020.543716,4.18E-04,-2.10E-05
MT919781.1_PhilTaguigNCR_2020-07-13,2020.530055,4.83E-04,5.26E-05
MT919783.1_PhilCaloocanNCR_2020-07-15,2020.535519,3.82E-04,-5.14E-05
MT919785.1_PhilSanJuanCityNCR_2020-07-16,2020.538251,4.83E-04,4.79E-05
MT919768.1_PhilMakatiNCR_2020-04-03,2020.254098,2.59E-04,-1.57E-16
MT919776.1_PhilPasayNCR_2020-07-06,2020.510929,4.13E-04,-4.89E-06
MT919778.1_PhilPasayNCR_2020-07-07,2020.513661,4.13E-04,-6.59E-06
MT919782.1_PhilTaguigNCR_2020-07-14,2020.532787,4.17E-04,-1.49E-05
